NAME,LOCATION,City,IMAGE,RATING,BOOK NOW
HLV GRAND INN,Gandhi Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/h3.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/HLV-GRAND-INN_BUDGET_STAYS_HOTEL_RVQs
Greens residency,Kalasipalaya , Bangalore,https://jiwirooms.com/app/hotel_logo/green2.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Greens-residency_BUDGET_STAYS_HOTEL_RWQq
THE IRIS INN,Mahadevapura , Bangalore,https://jiwirooms.com/app/hotel_logo/iris6.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/THE-IRIS-INN_BUDGET_STAYS_HOTEL_RWRy
Transit hotel,Bansankari , Bangalore,https://jiwirooms.com/app/hotel_logo/tra4.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Transit-hotel_BUDGET_STAYS_HOTEL_RWRs
Hotel euphoria,Bannerghatta Road , Bangalore,https://jiwirooms.com/app/hotel_logo/Captureearwere.JPG,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-euphoria_BUDGET_STAYS_HOTEL_RVXs
S r guest house,Lakkasandra , Bangalore,https://jiwirooms.com/app/hotel_logo/20180804_115128.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/S-r-guest-house_BUDGET_STAYS_HOTEL_RVWy
Tanya residency deluxe rooms,yaswanthpura , Bangalore,https://jiwirooms.com/app/hotel_logo/tan3.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Tanya-residency-deluxe-rooms_BUDGET_STAYS_HOTEL_RVTq
Hotel nile residency,Madiwala , Bangalore,https://jiwirooms.com/app/hotel_logo/defsd.JPG,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-nile-residency_BUDGET_STAYS_HOTEL_RVXt
Kamat Yatrinivas,whitefield , Bangalore,https://jiwirooms.com/app/hotel_logo/37992.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Kamat-Yatrinivas_BUDGET_STAYS_HOTEL_RXQs
Royal Shades,Kodihalli , Bangalore,https://jiwirooms.com/app/hotel_logo/39603.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Royal-Shades_BUDGET_STAYS_HOTEL_RYWp
Viva Hotel,Tilaknagar , Bangalore,https://jiwirooms.com/app/hotel_logo/viva 5.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Viva-Hotel_BUDGET_STAYS_HOTEL_RWQv
