Dragonfly Hotel, The Art Hotel,Andheri East,22000 18000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/7d/0e/7d0e4a03ec70715dba9bf62ab80a56fa.jpg,4.0
Mint Magna Suites,Parel,8000 7000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/e2/2d/e22d9330bba14a7aa2d7eef334d1e8f8.jpg,3.0
Hotel City View,Vashi,4000 3398,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/39/3e/393efcfcb1d1128504673abb6b98a63a.jpg,2.0
Fortune Elite,Andheri West,7000 4998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/97/ce/97ce27af5c8c22de26c978f469bab52e.jpg,3.0
Liwa International,Andheri East,5900 4998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/94/e2/94e2edc1e88e0339f46bb79d00e51aed.jpg,3.0
Hotel Sapna Chowpatty,Chowpatty,10000 8000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/02/69/0269fc310f05ae251daa05bbbe7072d1.jpg,2.0
Hotel JK Regency,Andheri East,12000 10000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/ad/ec/adec84a5d6c4adfbb219aedcfdde8eda.jpg,2.0
Suraksha Lodging & Boarding,Thane West,11998 11998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/4e/f5/4ef56cf0f154524c4264c1edc0d6221d.jpg,2.0
Hotel Veera Residency,Andheri East,5200 5200,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/3e/53/3e532e35423553c2440d77a5c08d5fd9.jpg,2.0
Hotel Baldev Palace,Nerul East,4400 4398,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/6c/4a/6c4aafdb026d4f7df853b44b6f75c3c4.jpg,2.0
Hotel Annex Executive,Andheri East,5000 4800,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/d0/b6/d0b65a0773d9eecae8d4b1b0d539f745.jpg,2.0
ZipStay Neptune Residency,Navi Mumbai,5600 5600,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/28/3e/283ea33d1a3fc4d3826f60c222995c95.jpg,3.0
Hotel Imperial Palace Mumbai,Andheri East,5998 4998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/44/cf/44cf386b9b653aa0a9830ccb836ec26b.jpg,2.0
Mina International,Jogeshwari,7600 5600,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/d0/1a/d01aae3b320c430af048dea1ecace6b0.jpg,3.0
Hotel Vihang's Inn,Thane West,11000 11000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/68/74/6874c94b70128232a62daf839efac6f3.jpg,2.0
Hotel Al Mehraj,Masjid Bunder,2500 2398,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/58/1e/581ed23a1539bee2a8e0dd2db3ffd88b.jpg,2.0
Milan Guest House,Khetwadi Back Road,4998 4998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/c2/76/c27635b6a9fa02017f72ed9cfa90ccf4.jpg,2.0
GSK Hotel,Kurla West,7000 5000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/5f/30/5f30e3cdb23ff210c0c27028848307a8.jpg,3.0
Port Hotel,Andheri (E),3998 3598,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/40/2c/402c58ca479232b3edf36b7327838e96.jpg,2.0
Hotel Golden Palace Kurla,Kurla,5998 5998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/71/53/715344bdbb97518f01e913ad4aa20b00.jpg,2.0
Hotel Neelkiran,Vashi,5998 4998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/b1/19/b119aa5a89334d532ac36a8c7f78b719.jpg,2.0
Hotel Residency Park,Masjid Bandar,7998 3198,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/f6/d2/f6d275f0e325510f442413b65c7c726d.jpg,3.0
Safar Residency,Sion,5598 5598,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/09/b1/09b11ee908cf22a4018ffa9144a0b6f8.jpg,3.0
Hotel Sunshine,Andheri East,6000 4998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/bb/f2/bbf25748bedb9f4b820546b1a7d4447c.jpg,2.0
Hotel Spring Inn,Kandivali West,7000 6598,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/c0/f5/c0f57b7784f9579a9ab1a2f53bda15f6.jpg,3.0
Deluxe Residency,Santacruz,18000 5600,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/71/89/71898a7b9edeb41450eea4adc317282b.jpg,3.0
National Residency,Marol,4000 3998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/bb/14/bb14cf4e44000097b26c872944a04678.jpg,3.0
Hotel Fantacee,Vashi,4400 2600,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/af/45/af45495315556bf5c7f97fa95354945b.jpg,2.0
Hotel Navi Mumbai,Vashi,4998 3198,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/b3/c7/b3c73e1c44528f02f5261f0a3a819ee3.jpg,2.0
